date,tv,digital_video,search,social,display,audio,print_mail,sales,consumer_sentiment,gas_price,store_count,markdown,hol_blackfriday,hol_christmas,hol_thanksgiving,hol_july4,hol_primeday
2015-11-29,228312.8,31282.27,3036928.47,200107.26,371064.01,125890.18,1006840.3200000001,271343341.94,92.6,2.165,699.2857142857142,0.8099915171428571,0,0,0,0,0
2015-12-06,598284.68,46507.47,1366792.41,135657.9,229607.89,182861.48,3017405.54,149972976.88,92.6,2.1590000000000003,699.0,0.795431676142857,0,0,0,0,0
2015-12-13,1100083.38,51508.88,1206740.48,212824.77,409647.23,448599.61,3409387.9299999997,294528174.25,92.6,2.144,699.0,0.7909690107142856,0,0,0,0,0
2015-12-20,467928.46,31746.47,940937.9,204504.84,197268.34,219113.80000000002,3780674.36,310203159.17,92.6,2.133,699.0,0.761606590142857,0,1,0,0,0
2015-12-27,330651.97,18764.8,390684.05,189148.13,385946.44,170405.87000000002,2424813.58,107308074.03,92.6,2.141,699.0,0.777059949857143,0,0,0,0,0
2016-01-03,29391.83,4706.6,563136.6,31050.84,62548.32,88386.3,424497.24,103324675.7,92.0,2.135,699.0,0.6842867374285713,0,0,0,0,0
2016-01-10,77911.96,11893.42,303724.75,26850.84,105824.95,137100.31,1394808.8399999999,102028158.41,92.0,2.104,699.0,0.6786854635714286,0,0,0,0,0
2016-01-17,31970.91,2745.52,586479.26,48332.41,100632.82,14624.49,1279451.9,85073744.26,92.0,2.022,699.0,0.6562884034285714,0,0,0,0,0
2016-01-24,45624.54,22787.32,629124.69,48664.11,108312.81,94682.94,1109353.08,89894742.56,92.0,1.965,699.0,0.7138411612857141,0,0,0,0,0
2016-01-31,78792.36,11076.35,392987.02,41682.57,46813.87,134626.03,1234456.91,117121842.21,91.70000000000002,1.932,670.7142857142858,0.7290943655714286,0,0,0,0,0
2016-02-07,221543.97,13093.63,599271.73,71928.29,125066.07,156450.06,365225.99,75144838.55,91.70000000000002,1.8700000000000008,666.0,0.7348070391428572,0,0,0,0,0
2016-02-14,111637.9,23984.86,578474.12,32794.26,125161.21,104210.48,1090699.8900000001,128713899.25,91.70000000000002,1.834,666.0,0.7052192378571427,0,0,0,0,0
2016-02-21,637.5,2672.65,347753.64,53171.51,49166.11,52904.9,1016286.97,60278891.63,91.70000000000002,1.837,666.0,0.7059822491428571,0,0,0,0,0
2016-02-28,117319.86,12919.29,332135.83,35010.15,67901.12,60229.62,864610.27,105280763.23,91.0,1.887,666.0,0.6847551252857143,0,0,0,0,0
2016-03-06,52496.18,24899.42,327631.39,66889.62,164108.97,91030.06,695442.01,73654346.26,91.0,1.943,666.0,0.7074848332857144,0,0,0,0,0
